record,error_type,label,start,end,entity_text,text
1,FN,PRODUTO,0,5,Tripé,Tripé Para Caixa Amplificada Multilaser 1.2 Metro - SP264
2,FN,PRODUTO,0,9,Headphone,Headphone Bluetooth H1 com Acabamento em Silicone - Laranja | GT
2,FN,MARCA,62,64,GT,Headphone Bluetooth H1 com Acabamento em Silicone - Laranja | GT
5,FN,PRODUTO,0,8,Earphone,Earphone Hands Free Stereo Audio Wired - PH186
7,FN,COR,56,59,Red,"Caixa de Som JBL GO 2 Bluetooth, à Prova d'Água, 3.1W - Red"
9,FN,CONECTIVIDADE,40,42,BT,Caixa de Som Frahm Mini System TWS 5000 BT DJ Bluetooth - 500W RMS
10,FN,CONECTIVIDADE,50,52,BT,Caixa de Som Torre Pulse Double 10 Pol. 1800W RMS BT LED - SP507
11,FN,PRODUTO,0,9,Headphone,Headphone Bluetooth GT Follow - Verde | GT
11,FN,MARCA,20,22,GT,Headphone Bluetooth GT Follow - Verde | GT
11,FN,MARCA,40,42,GT,Headphone Bluetooth GT Follow - Verde | GT
13,FN,MARCA,23,25,UE,Caixa de Som Bluetooth UE Megaboom Azul à Prova d' Àgua
15,FN,PRODUTO,0,13,Relogio Smart,Relogio Smart Mi Band 4 Xiaomi
15,FN,MARCA,24,30,Xiaomi,Relogio Smart Mi Band 4 Xiaomi
18,FN,PRODUTO,0,8,Pulseira,Pulseira para iPod Touch Loop Apple MD973BZ/A Amarelo e Branco
19,FN,POTENCIA,28,36,30 Watts,"Caixa de Som JBL, Playlist, 30 Watts, Preta - Bluetooth"
20,FN,PRODUTO,0,8,Earphone,Earphone Sport Stereo Áudio - PH202
22,FN,CONECTIVIDADE,44,46,AV,"Projetor 3500 Lumens Full HD com HDMI, USB, AV e VGA GT + Apresentador de Slides Wireless GT5 com Laserpoint GT"
22,FN,CONECTIVIDADE,49,52,VGA,"Projetor 3500 Lumens Full HD com HDMI, USB, AV e VGA GT + Apresentador de Slides Wireless GT5 com Laserpoint GT"
22,FN,MARCA,53,55,GT,"Projetor 3500 Lumens Full HD com HDMI, USB, AV e VGA GT + Apresentador de Slides Wireless GT5 com Laserpoint GT"
22,FN,PRODUTO,58,80,Apresentador de Slides,"Projetor 3500 Lumens Full HD com HDMI, USB, AV e VGA GT + Apresentador de Slides Wireless GT5 com Laserpoint GT"
22,FN,MARCA,109,111,GT,"Projetor 3500 Lumens Full HD com HDMI, USB, AV e VGA GT + Apresentador de Slides Wireless GT5 com Laserpoint GT"
25,FN,COR,53,58,White,Caixa De Som Bluetooth Mi Compact Speaker 2 - Xiaomi White
26,FN,CONECTIVIDADE,15,21,Type C,Fone De Ouvido Type C Branco Usams - Us-Sj452
27,FN,PRODUTO,16,23,Speaker,Pulse Bluetooth Speaker Energy - SP356
28,FN,PRODUTO,0,11,Mini System,Mini System Portátil 1800W Bluetooth com Bateria Novik Neo Thunder
29,FN,PRODUTO,0,9,Headphone,Headphone JBL Bluetooth 4.0 Com Limite de Volume Rosa Jr 300BT - JBLJR300BTPIK
30,FN,PRODUTO,0,7,Vitrola,Vitrola Micro System Sinatra Retro Pulse - SP366
30,FN,PRODUTO,8,20,Micro System,Vitrola Micro System Sinatra Retro Pulse - SP366
31,FP,PRODUTO,13,20,Headset,Suporte para Headset Gamer GT Space com LED RGB e HUB USB | GT Gamer
31,FN,PRODUTO,0,7,Suporte,Suporte para Headset Gamer GT Space com LED RGB e HUB USB | GT Gamer
31,FN,MARCA,27,29,GT,Suporte para Headset Gamer GT Space com LED RGB e HUB USB | GT Gamer
31,FN,MARCA,60,62,GT,Suporte para Headset Gamer GT Space com LED RGB e HUB USB | GT Gamer
32,FN,MARCA,31,40,Goldentec,Caixa de Som Bluetooth 20W RMS Goldentec GT Inspire 2
32,FN,MARCA,41,43,GT,Caixa de Som Bluetooth 20W RMS Goldentec GT Inspire 2
33,FN,COR,40,46,Carbon,Headset Gamer Corsair USB Dolby 7.1 RGB Carbon Void - CA-9011154
35,FN,PRODUTO,0,5,Caixa,Caixa Bluetooth Exbom Oval Speaker Cores Sortidas - Cs-M50bt
39,FN,PRODUTO,0,11,Super Torre,Super Torre Double 15 4000W - SP1000
40,FN,MARCA,32,37,Beats,Fone de ouvido circum-auricular Beats Studio Wireless - preto
42,FN,MARCA,13,20,Hot Sat,Caixa de Som Hot Sat HSX-300 Bluetooth Bateria com Controle Remoto - Preto
43,FN,COR,47,61,champagne Gold,Fone de ouvido in ear JBL Tune 205BT bluetooth champagne Gold
46,FP,PRODUTO,68,75,Headset,Kit com Headphone Attack 7.1 Canais Laranja GT Gamer + Suporte para Headset Gamer Space Goldentec
46,FN,PRODUTO,8,17,Headphone,Kit com Headphone Attack 7.1 Canais Laranja GT Gamer + Suporte para Headset Gamer Space Goldentec
46,FN,MARCA,44,46,GT,Kit com Headphone Attack 7.1 Canais Laranja GT Gamer + Suporte para Headset Gamer Space Goldentec
46,FN,PRODUTO,55,62,Suporte,Kit com Headphone Attack 7.1 Canais Laranja GT Gamer + Suporte para Headset Gamer Space Goldentec
46,FN,MARCA,88,97,Goldentec,Kit com Headphone Attack 7.1 Canais Laranja GT Gamer + Suporte para Headset Gamer Space Goldentec
48,FN,PRODUTO,0,9,Headphone,Headphone Bluetooth H1 com Acabamento em Silicone - Branco | GT
48,FN,MARCA,61,63,GT,Headphone Bluetooth H1 com Acabamento em Silicone - Branco | GT
49,FN,PRODUTO,0,7,Vitrola,Vitrola Berry Retrô Pulse - SP364
51,FN,PRODUTO,0,9,Headphone,Headphone Dobrável New Fun P2 Multilaser Preto - PH268
52,FN,MARCA,20,22,GT,Caixa de Som 6W RMS GT Music - Branco/Azul | GT
52,FN,MARCA,45,47,GT,Caixa de Som 6W RMS GT Music - Branco/Azul | GT
53,FN,MARCA,15,17,GT,Fone Auricular GT Life Goldentec Azul (GT3001)
53,FN,MARCA,23,32,Goldentec,Fone Auricular GT Life Goldentec Azul (GT3001)
55,FN,PRODUTO,0,8,Earphone,Earphone Earbud Hands Free Branco Multilaser - PH355
56,FN,MARCA,25,27,GT,Fone de Ouvido Bluetooth GT Joy IPX4 | GT
56,FN,MARCA,39,41,GT,Fone de Ouvido Bluetooth GT Joy IPX4 | GT
57,FN,MARCA,0,5,Nokia,Nokia Essential Wireless Headphones - NK019
57,FN,PRODUTO,25,35,Headphones,Nokia Essential Wireless Headphones - NK019
58,FN,PRODUTO,0,16,Tela De Projeção,"Tela De Projeção Elétrica 2,03X1,52M 100 Polegadas Com Controle Remoto 110V - AC350"
62,FN,PRODUTO,16,23,Speaker,Pulse Bluetooth Speaker Wave II Azul - SP375
64,FN,MARCA,27,29,GT,Caixa de Som Bluetooth 4.0 GT Minibox Sound Goldentec
64,FN,MARCA,44,53,Goldentec,Caixa de Som Bluetooth 4.0 GT Minibox Sound Goldentec
65,FN,PRODUTO,0,16,Tela De Projeção,"Tela De Projeção Retrátil 1,80X1,80M 97 Polegadas - AC351"
67,FN,PRODUTO,0,10,Dvd Player,Dvd Player Multilaser Com Saída RCA - SP252
68,FN,MARCA,31,33,GT,Caixa de Som Bluetooth 60W RMS GT Soundbox | GT
68,FN,MARCA,45,47,GT,Caixa de Som Bluetooth 60W RMS GT Soundbox | GT
70,FN,PRODUTO,0,8,Earphone,Earphone Magnético Metallic Stereo Super Bass Pulse - PH260
70,FN,MARCA,46,51,Pulse,Earphone Magnético Metallic Stereo Super Bass Pulse - PH260
71,FN,PRODUTO,0,12,Micro System,Micro System JBL ms202 bluetooth
72,FN,PRODUTO,0,15,Portable System,Portable System Bluetooth - SP206
73,FN,PRODUTO,0,8,Earphone,Earphone Hands Free Stereo Áudio Wired - PH188
75,FN,PRODUTO,0,17,Caixa Amplificada,Caixa Amplificada Multiuso Frahm Power Box 600W RMS Preto - Bivolt
77,FP,MARCA,0,5,Pulse,PulseBox 2x Woofers 6.5 Polegadas 600W Pulse - SP504
77,FN,MARCA,39,44,Pulse,PulseBox 2x Woofers 6.5 Polegadas 600W Pulse - SP504
78,FN,PRODUTO,0,10,iPod touch,"iPod touch 6 Apple, 64GB, tela retina de 4"
79,FN,PRODUTO,6,13,Bazooka,Pulse Bazooka Paint Blast II 120W - SP362
81,FN,MARCA,14,16,GT,Headset Gamer GT Attack 7.1 Canais com LED para Desktop | GT Gamer
81,FN,MARCA,58,60,GT,Headset Gamer GT Attack 7.1 Canais com LED para Desktop | GT Gamer
82,FN,CONECTIVIDADE,61,63,AV,"Projetor Multimídia 5500 Lumens Smart Full HD com HDMI, USB, AV e VGA GT + Apresentador de Slides Wireless GT5 com Laserpoint GT"
82,FN,CONECTIVIDADE,66,69,VGA,"Projetor Multimídia 5500 Lumens Smart Full HD com HDMI, USB, AV e VGA GT + Apresentador de Slides Wireless GT5 com Laserpoint GT"
82,FN,MARCA,70,72,GT,"Projetor Multimídia 5500 Lumens Smart Full HD com HDMI, USB, AV e VGA GT + Apresentador de Slides Wireless GT5 com Laserpoint GT"
82,FN,PRODUTO,75,97,Apresentador de Slides,"Projetor Multimídia 5500 Lumens Smart Full HD com HDMI, USB, AV e VGA GT + Apresentador de Slides Wireless GT5 com Laserpoint GT"
82,FN,MARCA,126,128,GT,"Projetor Multimídia 5500 Lumens Smart Full HD com HDMI, USB, AV e VGA GT + Apresentador de Slides Wireless GT5 com Laserpoint GT"
83,FP,MARCA,0,3,Kit,Kit Projetor Multimídia 5500 Lumens Full HD + Tela de Projeção Retrátil
