record,error_type,label,start,end,entity_text,text
1,FN,PRODUTO,0,16,Tela de Projeção,Tela de Projeção com Tripé 180x180cm | GT
1,FN,MARCA,39,41,GT,Tela de Projeção com Tripé 180x180cm | GT
2,FN,MARCA,39,41,GT,Caixa de Som Amplificada Bluetooth TWS GT Way | GT
2,FN,MARCA,48,50,GT,Caixa de Som Amplificada Bluetooth TWS GT Way | GT
3,FN,PRODUTO,0,3,MP4,MP4 8GB LCD 1.8
6,FN,PRODUTO,0,11,Mini System,"Mini System LG CM4350 com MP3, Multi Bluetooth e Dual USB – 220 W"
7,FN,PRODUTO,0,9,Headphone,"Headphone JBL Tune 600 BT NC, Bluetooth, Preto"
7,FN,CONECTIVIDADE,23,25,BT,"Headphone JBL Tune 600 BT NC, Bluetooth, Preto"
8,FN,COR,27,33,Silver,Headset Gamer HyperX Cloud Silver - HX-HSCL-SR/NA
11,FN,PRODUTO,8,15,Mochila,Kit com Mochila para Notebook 15.6
12,FN,PRODUTO,0,7,Earhook,Earhook Sport Stereo Áudio - PH207
13,FN,PRODUTO,0,11,Mini System,"Mini System LG, 1800W RMS, Multi Bluetooth, com Controle Remoto - CJ87"
14,FP,PRODUTO,30,38,Projetor,Smart Screen Linux Com Função Projetor 2200 Lumens Multilaser - PJ003
14,FN,PRODUTO,0,12,Smart Screen,Smart Screen Linux Com Função Projetor 2200 Lumens Multilaser - PJ003
15,FN,PRODUTO,0,9,Headphone,Headphone Estéreo Hi-Fi GT Soul Colors - Azul | GT
15,FN,MARCA,24,26,GT,Headphone Estéreo Hi-Fi GT Soul Colors - Azul | GT
15,FN,MARCA,48,50,GT,Headphone Estéreo Hi-Fi GT Soul Colors - Azul | GT
16,FN,PRODUTO,0,17,Caixa Amplificada,Caixa Amplificada Amvox Aca 780 Vulcano Bluetooth 700w Bluetooth LED Rádio FM
17,FN,PRODUTO,16,23,Speaker,Pulse Bluetooth Speaker Adventure - SP353
18,FN,PRODUTO,0,8,Earphone,Earphone TWS Pulse Drop PRETO Pulse Sound - PH345
18,FN,MARCA,30,35,Pulse,Earphone TWS Pulse Drop PRETO Pulse Sound - PH345
19,FN,PRODUTO,0,7,Earhook,Earhook Sport Stereo Áudio - PH204
20,FN,CONECTIVIDADE,15,18,Aux,Fone De Ouvido Aux. P2 Large Verde Pulse - PH227
21,FP,PRODUTO,23,31,Projetor,Suporte Universal para Projetor 3 em 1 | GT
21,FN,PRODUTO,0,7,Suporte,Suporte Universal para Projetor 3 em 1 | GT
21,FN,MARCA,41,43,GT,Suporte Universal para Projetor 3 em 1 | GT
